,0,1,2,3,4,5,6,7
0,44.381046872568234,53.03798269179221,56.895693797398934,61.27074527194501,66.13459023132731,72.87424058060469,60.431258633336014,62.32371759738187
1,60.82876028402677,45.959928055314,51.16934902424521,64.49152970169042,54.49719637436627,63.184487017137705,72.09829542465154,64.73131468393704
2,48.64372613744258,61.509576182888814,61.017853082645324,65.34252874329614,58.122346187458625,58.730817429558506,63.831797906311124,61.418108795192644
3,56.34436692841894,51.17836724203383,59.83227075254841,83.89628630002576,64.88424656035858,48.509156251825644,54.92167693419521,54.67623752543726
4,70.56452710711307,48.45032175281278,51.87898237575005,58.241982338070045,60.40891620914056,59.14049073485049,67.37560997050039,54.915611906706594
5,63.38740876569379,62.56522869895676,60.084419337568804,63.30002000108264,53.201160433156545,61.45844682694658,65.23278339002587,49.77802668104736
6,51.67616223714751,64.4130776836915,58.37790776258695,55.54432640952401,74.4677401694998,65.1814156876048,52.202205570610715,54.182230001086694
7,55.581299922506574,68.67958019981198,59.47958269179358,56.414501416336996,67.60871467159285,48.63929056129196,56.58876049560715,67.35006730630332
8,63.06093450591931,52.51451345176662,59.527956339595015,70.0921199237371,62.23338356828071,47.92935556434713,53.42636260269668,68.21436989841247
9,48.58975306217458,58.12834976008904,61.56790375137801,47.37901754190234,59.723896463214295,63.086419637215144,62.493546460130275,70.9229748262483
